DSDA,DSENG,DSDM,DSRM,DSDK/DSBA
5,2,36,5,4
3,1,42,4,1
8,1,21,0,5
2,1,29,0,4
1,2,35,7,4
2,2,40,2,2
1,1,10,1,1
1,2,23,3,3
1,2,12,0,2
0,1,32,0,6
2,2,40,2,2
2,2,30,6,3
2,2,39,4,4
2,0,20,1,9
1,1,54,6,1
3,1,49,1,4
2,1,67,0,2
2,0,31,1,2
9,2,27,2,6
2,1,17,3,5
0,0,14,0,7
8,0,34,2,5
2,1,76,4,2
2,3,40,7,3
10,2,46,4,4
1,0,14,1,8
2,2,14,3,2
2,1,33,9,2
8,1,21,0,4
9,2,40,4,5
1,2,22,3,3
8,1,45,2,4
0,0,21,0,7
3,1,37,1,2
8,2,31,1,2
2,1,41,5,4
11,1,70,3,9
3,0,42,0,8
0,0,20,1,9
4,1,27,2,3
2,1,41,8,4
2,0,36,10,5
0,0,21,2,7
1,0,22,1,5
3,0,34,0,4
5,0,61,5,2
6,2,26,1,4
2,1,30,0,8
5,0,55,3,5
2,1,35,5,2
1,2,23,4,3
1,2,13,2,1
1,2,27,3,3
8,1,35,11,6
8,1,39,0,4
0,0,20,1,9
1,2,13,1,1
9,0,42,3,5
1,3,24,5,4
1,2,34,0,4
1,0,68,1,8
8,1,21,1,1
1,0,14,0,8
1,0,17,0,8
1,0,17,0,8
0,0,19,0,8
3,2,37,3,4
1,0,75,2,5
8,2,40,3,6
1,0,19,0,7
0,0,20,1,9
8,2,20,1,2
7,2,28,6,4
3,1,45,14,3
2,1,26,4,6
2,0,11,0,4
9,1,36,0,6
1,2,23,3,3
9,2,36,3,2
8,1,51,4,4
3,1,61,8,3
2,0,36,11,2
6,1,50,5,4
1,0,10,0,7
1,0,14,0,8
8,3,35,5,3
2,0,40,9,3
0,0,49,3,7
8,2,26,1,6
5,2,36,5,4
9,0,46,0,4
0,0,17,1,7
8,2,9,1,3
2,0,41,3,7
8,0,41,2,6
9,1,24,0,5
2,1,35,12,3
2,2,24,3,4
8,1,45,7,2
2,1,36,8,3
1,1,10,1,1
9,1,24,0,5
1,2,22,3,3
2,2,35,3,5
0,0,20,1,9
8,1,39,4,2
7,1,15,1,5
9,1,31,3,6
0,0,34,0,15
8,1,18,1,2
3,1,30,10,4
2,0,20,0,5
2,1,76,6,4
1,1,56,0,3
1,0,28,7,3
5,1,22,0,2
2,1,31,4,2
2,0,43,1,4
1,0,31,6,4
0,0,29,2,6
9,2,28,1,4
10,1,42,2,3
1,0,26,8,5
8,2,33,1,5
3,1,47,2,3
7,2,16,0,5
8,3,38,7,4
1,2,24,4,3
9,1,73,10,7
1,0,22,1,9
6,1,27,1,6
3,0,32,8,4
3,2,24,0,2
0,0,17,1,7
8,2,10,0,7
8,1,47,2,6
3,1,33,6,7
2,1,26,1,5
1,1,29,11,7
2,1,41,1,6
1,0,16,0,6
1,1,10,1,1
8,1,53,11,5
0,0,15,1,6
3,2,37,3,4
4,0,66,2,1
1,1,23,1,5
6,0,46,16,4
8,1,13,0,2
1,0,22,10,1
2,3,18,5,3
9,1,29,0,2
0,0,17,2,9
1,0,41,1,4
2,2,40,2,2
1,2,27,1,3
1,0,45,6,3
1,1,24,1,4
2,1,22,2,3
4,1,42,8,7
2,2,37,2,4
3,1,74,6,3
2,0,38,0,2
0,0,16,1,6
6,0,45,16,9
1,0,22,1,5
2,1,28,11,3
1,0,62,5,4
2,1,14,2,2
8,2,26,1,6
2,0,20,1,9
4,0,40,0,4
2,0,42,1,4
2,0,32,11,6
2,2,16,1,2
2,1,79,5,4
1,1,22,2,3
1,2,14,3,3
11,2,42,3,3
1,2,23,4,3
2,0,38,2,2
1,0,26,9,3
8,0,26,0,6
3,1,14,1,5
8,2,26,1,6
8,2,38,4,4
9,2,22,1,4
8,1,38,3,3
2,1,31,12,2
1,1,23,3,3
2,0,37,11,4
6,1,56,5,3
8,3,48,4,6
9,3,16,2,3
8,0,36,2,5
8,1,20,0,7
9,0,36,1,10
8,0,42,3,5
1,0,29,11,1
1,2,13,1,1
5,2,36,5,4
1,2,14,1,2
2,0,42,7,4
2,2,26,0,6
10,1,66,3,5
1,2,18,2,2
1,1,23,2,5
2,1,11,0,3
8,3,26,1,5
9,1,30,0,2
9,1,21,3,4
2,2,39,4,4
2,2,35,3,5
2,2,22,0,3
8,2,26,1,6
3,2,18,0,2
1,0,45,19,6
0,0,20,1,9
2,0,45,6,2
2,1,18,0,2
1,0,75,2,5
3,0,44,1,7
10,0,38,1,5
1,2,23,3,3
8,2,26,1,6
2,0,35,10,6
9,1,37,1,6
0,0,20,1,9
0,0,20,1,9
2,1,14,3,2
1,0,19,16,2
9,1,26,1,5
6,2,19,1,2
8,2,50,14,5
1,1,31,1,4
2,0,35,0,2
0,0,22,1,8
8,1,40,5,6
0,1,10,0,6
8,2,50,8,5
1,0,22,2,8
0,0,12,1,7
1,3,24,5,4
0,0,20,1,9
3,1,62,4,4
7,1,15,1,2
8,1,27,1,10
0,1,10,0,6
8,1,16,0,4
1,1,22,5,1
