0,1,2,3,4
31,4,11,0,8
21,3,21,0,6
17,1,14,1,2
15,1,13,1,6
27,2,13,0,7
21,2,19,0,8
9,0,4,0,1
16,0,6,2,8
10,1,3,0,3
15,0,18,1,5
21,2,19,0,8
17,9,10,2,5
29,3,13,0,8
10,1,14,0,7
29,4,22,0,10
28,1,26,0,3
27,6,29,3,7
17,4,9,0,6
18,2,22,1,3
14,1,9,1,3
7,0,8,0,6
20,3,20,2,4
35,6,35,0,11
24,3,18,3,7
30,4,27,2,3
10,1,6,0,7
14,1,1,3,4
26,2,10,2,7
18,0,13,1,2
32,0,22,2,4
19,0,6,0,6
26,2,22,1,9
16,0,6,0,6
22,2,17,1,3
20,0,17,2,5
33,3,12,0,7
44,1,37,2,10
23,1,25,0,5
13,1,8,0,8
15,3,16,0,3
20,9,22,2,3
26,6,13,2,8
15,0,10,0,5
12,1,11,0,5
20,1,14,0,7
39,2,25,2,5
18,1,16,1,3
21,0,15,0,5
28,3,23,3,12
20,5,14,0,6
18,1,7,1,6
12,0,2,3,2
20,0,7,1,8
32,6,15,2,6
24,0,27,0,1
13,1,8,0,8
11,0,2,3,2
30,0,23,2,4
20,5,2,0,12
24,1,10,0,6
42,2,27,0,10
12,2,15,1,2
11,1,6,0,5
7,2,11,0,6
10,0,10,0,6
16,0,6,0,5
25,3,14,0,9
35,6,34,0,8
20,5,29,1,4
13,0,9,0,5
13,1,8,0,8
18,0,12,1,2
15,1,17,10,4
31,11,16,2,6
21,2,12,1,3
12,0,4,0,1
19,0,25,4,4
18,0,6,1,7
29,2,16,2,3
26,3,30,3,6
43,2,23,3,11
24,8,11,1,7
29,3,18,3,13
7,0,6,0,5
11,1,5,0,6
29,1,17,2,5
28,6,12,3,5
35,1,17,1,5
23,0,17,1,2
31,4,11,0,8
24,2,33,0,1
12,1,7,0,5
13,1,8,0,1
21,4,18,2,8
26,1,23,2,5
22,0,14,0,3
23,4,13,6,7
24,1,7,1,2
36,2,19,3,3
24,6,12,3,7
8,0,3,0,3
18,0,17,0,4
15,0,7,1,8
24,3,11,0,11
13,1,8,0,8
32,0,19,1,2
11,1,13,1,3
26,2,18,2,2
23,1,11,1,13
17,0,11,0,2
25,7,10,1,6
16,1,8,0,2
39,2,34,0,15
28,4,22,0,7
19,3,9,1,7
15,2,12,0,2
20,2,11,1,6
25,4,16,0,5
23,3,10,1,5
16,0,12,1,8
23,0,19,0,2
31,0,25,1,3
11,5,12,2,10
24,1,19,1,4
30,2,21,1,6
12,0,14,0,5
31,1,21,1,6
20,1,6,0,7
57,4,27,6,7
18,0,9,1,5
18,3,14,1,5
25,5,10,0,8
14,1,12,0,4
11,0,9,0,5
13,1,12,0,1
38,2,19,1,4
33,0,10,5,2
14,1,15,1,4
12,6,11,5,15
24,1,19,2,6
7,1,9,0,6
9,0,4,0,1
38,5,24,1,10
11,2,3,0,6
25,3,14,0,9
25,3,39,2,5
16,1,8,2,4
33,8,18,3,10
13,0,10,0,1
14,3,12,2,5
14,4,9,0,5
19,0,20,0,2
13,1,7,0,7
21,0,21,2,7
21,2,19,0,8
18,1,6,2,7
29,2,18,0,7
17,1,6,1,6
14,1,13,0,2
22,7,18,3,14
19,3,21,3,1
39,2,33,0,14
23,0,13,2,5
11,0,8,0,4
29,9,20,3,15
12,1,11,0,5
17,5,14,0,10
29,1,32,2,10
9,0,10,0,2
23,0,17,1,2
11,0,13,0,8
25,1,17,1,5
27,3,14,0,7
24,5,12,3,9
12,0,10,0,1
37,2,40,6,6
15,1,5,1,7
13,0,1,3,6
33,2,22,2,3
19,2,6,0,6
15,0,25,2,4
21,3,9,1,5
19,1,16,2,2
6,0,14,0,4
23,0,17,1,2
30,2,19,2,3
22,0,13,0,3
28,0,19,4,2
24,2,10,5,7
16,1,8,0,6
22,7,15,2,8
30,5,21,3,12
33,2,27,2,5
20,0,11,0,2
23,3,20,3,2
16,1,13,0,6
20,1,28,2,5
23,5,20,3,8
19,2,15,0,6
11,0,2,3,2
31,4,11,0,8
14,0,1,3,2
22,5,18,5,5
21,1,13,0,1
41,3,33,3,5
12,1,8,0,4
12,1,14,0,5
12,0,4,0,1
20,1,21,0,1
19,0,21,0,2
23,1,12,0,2
29,5,13,0,6
24,3,11,0,11
13,0,14,1,1
23,0,17,1,2
12,0,8,1,4
38,9,10,3,11
13,1,8,0,8
22,2,24,0,7
10,0,9,1,3
35,6,34,0,8
23,1,23,1,7
27,1,18,0,8
19,0,6,0,7
23,0,17,1,2
24,6,13,3,9
24,1,25,2,2
13,1,8,0,8
13,1,8,0,8
10,1,9,0,2
17,7,9,0,5
24,1,12,1,4
15,1,11,0,3
43,4,21,3,8
15,2,13,3,5
17,1,18,0,3
14,1,9,1,6
38,2,16,1,3
8,0,4,0,5
34,3,21,2,13
24,1,2,1,5
7,1,8,0,4
20,5,2,0,12
13,1,8,0,8
30,1,32,2,9
12,0,11,1,2
20,2,15,2,8
8,0,4,0,5
14,0,13,0,2
15,2,9,1,3
