0,1,2,3,4
8,6,33,2,5
9,3,36,2,1
5,4,21,0,5
4,2,27,0,3
2,5,32,7,3
9,6,31,1,3
3,1,10,0,0
5,1,19,3,4
3,2,8,1,3
6,6,22,0,5
7,6,33,1,3
7,1,29,3,3
5,5,34,2,7
8,3,16,1,4
8,3,48,4,2
9,4,41,0,4
9,4,55,0,4
9,2,22,1,2
4,4,29,2,7
5,3,15,2,3
3,1,12,0,5
6,4,33,1,5
6,3,71,5,3
5,4,38,5,3
9,3,47,3,4
7,1,11,1,4
4,1,12,4,2
5,4,33,3,2
6,2,23,0,3
8,3,38,6,5
5,2,18,2,4
5,6,45,1,3
4,1,19,1,3
7,5,31,0,2
5,2,34,0,3
9,6,33,2,5
9,6,71,2,6
9,3,35,0,7
5,2,16,1,6
4,2,27,1,3
9,1,37,6,3
7,3,32,9,4
5,1,20,1,3
5,3,16,1,4
8,5,25,0,4
10,4,52,3,4
7,2,26,1,3
15,3,23,0,0
15,5,33,9,7
6,3,31,3,2
5,2,19,3,4
3,1,11,3,1
5,1,23,3,4
6,9,30,10,6
5,6,38,0,3
5,2,16,1,6
4,1,12,1,0
10,8,36,3,2
3,4,17,5,10
9,2,27,0,3
17,8,49,1,6
5,2,25,0,0
6,1,11,1,4
6,1,14,1,4
7,1,13,0,5
8,3,13,0,3
6,5,31,2,7
7,2,67,2,5
9,4,38,3,5
5,1,16,0,5
5,2,16,1,6
6,3,23,0,1
6,4,27,7,3
12,5,32,13,4
6,2,25,2,4
3,2,10,0,2
5,3,37,0,7
5,1,19,3,4
9,4,35,3,1
6,4,52,3,3
19,6,48,6,3
5,5,32,7,2
12,3,43,1,7
4,1,7,0,6
6,1,11,1,4
9,4,34,4,3
5,5,36,5,3
7,1,44,3,4
4,3,29,0,7
8,6,31,4,5
4,5,47,1,3
7,1,12,1,4
5,3,12,1,2
9,3,33,2,6
3,6,42,0,6
7,3,25,0,4
5,7,30,8,3
7,2,22,1,3
13,4,41,4,1
5,7,31,6,3
2,1,10,0,1
6,4,25,0,4
5,1,18,3,4
6,5,31,1,6
5,2,16,1,6
10,3,38,2,1
6,3,16,1,3
10,3,31,3,3
4,2,31,0,12
5,4,20,0,1
7,2,31,3,6
3,5,16,0,3
10,4,66,6,4
9,4,46,0,2
2,3,25,7,2
9,5,14,1,2
4,2,29,3,2
9,6,33,0,2
2,4,30,4,2
7,1,24,1,4
5,3,31,1,4
11,5,41,0,3
4,1,26,4,5
4,5,34,1,5
11,11,32,3,3
7,2,17,1,4
15,8,30,2,5
5,2,20,3,4
10,9,64,10,8
10,2,15,1,5
6,3,27,1,4
7,1,33,2,5
6,6,18,0,1
7,1,12,1,4
7,1,14,0,5
8,3,47,1,5
7,5,29,6,3
6,2,23,1,3
3,4,26,7,9
6,2,36,1,7
4,1,13,1,4
3,1,10,0,0
6,8,48,10,6
4,1,12,1,4
6,7,31,2,5
11,4,55,2,2
4,2,19,1,5
9,3,45,12,3
5,2,16,0,1
4,6,21,4,1
6,2,14,5,5
5,4,31,0,1
6,1,14,1,6
7,3,36,2,3
7,6,31,3,3
5,2,22,1,4
7,2,40,5,2
6,2,20,1,2
5,1,22,1,1
8,6,35,8,7
6,4,32,2,3
11,4,64,6,3
7,4,31,0,1
3,1,14,1,4
9,4,44,12,7
5,3,16,1,4
4,3,30,5,4
5,7,55,2,5
3,5,11,1,1
4,3,29,0,7
9,3,15,1,4
8,2,34,0,5
9,5,32,1,4
8,4,29,7,5
8,2,13,0,0
10,4,66,6,5
6,1,18,2,2
5,2,11,2,3
12,4,40,3,3
5,2,19,3,4
9,3,29,2,3
2,3,25,7,2
3,6,26,1,4
3,5,10,1,5
4,3,29,0,7
16,6,30,1,3
7,2,26,0,3
10,5,35,1,2
5,4,31,6,2
6,4,16,3,2
8,3,34,5,4
13,3,47,1,7
17,6,39,1,6
5,3,19,2,4
7,4,35,1,4
6,2,22,0,6
12,5,35,1,4
6,6,38,5,4
4,5,29,3,1
3,1,12,1,1
10,6,31,2,5
6,2,10,1,1
4,5,38,5,3
6,3,22,0,5
10,5,65,2,3
6,2,11,3,3
6,3,19,1,3
4,1,10,0,2
9,4,25,0,5
5,4,32,0,1
6,4,23,2,3
5,5,34,4,5
6,5,29,3,6
4,4,20,0,1
3,3,29,0,8
4,3,15,0,3
13,2,37,12,7
5,2,16,1,6
6,4,41,2,2
6,3,13,0,1
7,2,67,2,5
13,7,31,1,3
17,2,26,1,8
5,1,19,3,4
4,3,29,0,7
7,3,29,11,5
5,4,39,0,6
5,2,16,1,6
5,2,16,1,6
2,6,11,1,2
4,6,16,10,2
7,3,28,0,4
6,3,18,1,2
6,4,51,12,6
4,3,27,0,4
5,3,30,0,1
4,2,20,0,5
5,6,42,3,4
5,2,7,0,3
6,2,54,6,5
5,1,18,2,7
3,2,10,1,4
3,6,17,5,8
5,2,16,1,6
9,5,54,4,2
5,3,16,2,0
5,4,27,2,9
5,2,7,0,3
5,2,19,0,3
7,4,16,3,0
