0,1,2,3,4
13,4,25,6,6
6,8,32,3,2
4,4,20,3,4
4,0,25,3,4
5,2,25,10,7
9,2,29,5,5
3,0,10,1,0
8,2,15,5,2
4,2,7,2,2
9,3,22,1,4
9,2,29,5,5
8,3,20,6,6
8,5,27,7,6
8,1,18,3,2
7,8,37,5,8
7,0,41,5,5
11,1,54,3,3
10,1,18,2,5
6,2,28,3,7
4,2,17,1,4
6,1,11,1,2
7,2,32,3,5
10,6,58,7,6
10,8,22,9,6
8,3,46,4,5
8,1,9,3,3
4,1,10,4,4
12,3,21,8,3
5,2,23,1,3
8,5,38,3,6
9,2,13,3,4
9,3,38,4,6
6,1,18,1,2
7,2,30,3,3
5,2,32,1,4
7,5,32,5,6
12,2,66,6,8
8,2,37,1,6
6,3,10,6,5
4,1,24,3,5
9,2,34,9,2
8,3,25,13,6
7,2,18,2,1
7,3,16,1,2
12,3,22,1,4
12,3,49,5,4
5,1,27,4,2
15,2,21,1,2
13,5,33,8,10
7,5,24,4,5
7,4,14,4,4
3,0,13,2,1
7,2,17,6,4
6,5,30,13,7
5,4,37,2,4
6,3,10,6,5
3,0,11,2,2
12,2,36,6,3
6,2,17,5,9
9,1,28,2,1
21,1,49,2,8
4,2,23,2,1
8,1,10,1,3
8,1,13,1,3
10,1,11,1,3
9,1,13,1,3
10,5,24,4,8
8,0,61,8,6
5,2,38,7,7
8,1,14,1,3
6,3,10,6,5
5,2,22,2,2
5,2,31,5,4
13,4,26,17,6
6,1,22,6,4
5,1,9,1,1
5,2,35,3,7
8,2,14,5,3
10,2,32,5,3
4,2,54,3,5
19,4,44,8,7
7,8,15,14,7
13,4,38,4,7
6,1,6,1,4
7,1,11,1,3
9,2,33,7,3
9,4,24,12,5
9,1,42,5,2
4,2,27,3,7
11,6,25,6,6
7,2,44,3,4
9,1,11,2,2
3,3,13,1,3
11,1,28,5,8
5,2,42,2,6
5,3,26,1,4
12,4,22,10,5
5,1,20,5,4
12,1,44,5,1
12,4,22,9,5
2,0,10,1,1
5,2,25,1,6
7,2,14,4,4
10,4,23,3,9
6,3,10,6,5
7,2,41,3,1
3,3,19,2,2
9,2,29,4,6
7,2,29,1,10
5,2,21,2,0
10,3,19,8,9
5,2,13,2,5
11,2,62,10,5
12,1,43,2,3
4,3,19,10,3
11,2,17,1,0
4,1,25,6,4
14,0,31,2,3
4,4,24,7,3
10,2,21,2,2
4,3,28,4,5
10,2,42,3,3
4,2,18,9,7
4,2,37,1,5
11,5,36,2,6
4,2,20,1,4
8,3,38,8,3
7,4,16,3,4
7,6,66,11,11
13,2,14,2,2
5,1,25,4,6
9,3,18,9,9
7,1,19,1,3
9,1,11,2,2
5,3,14,1,4
6,2,47,4,5
8,3,30,6,3
4,1,26,2,2
4,5,15,18,7
14,4,27,3,4
5,1,12,3,2
3,0,10,1,0
7,4,48,13,6
5,1,10,4,2
8,5,24,6,8
16,2,51,4,1
7,1,16,2,5
12,5,32,15,8
4,2,17,1,0
5,3,14,9,5
6,5,13,6,2
3,3,29,5,1
8,1,12,3,4
12,1,29,6,3
9,2,29,5,5
8,4,18,3,1
10,2,33,5,6
10,2,14,3,2
5,1,19,3,2
7,4,35,8,10
4,2,35,3,3
11,1,61,10,5
8,1,28,5,1
6,1,13,1,2
11,5,34,15,11
7,3,16,1,2
5,6,22,7,6
10,3,54,2,5
3,2,14,1,1
4,2,27,3,7
9,1,17,3,2
8,2,32,3,4
10,7,25,4,5
8,4,25,10,6
5,2,14,1,1
10,2,66,9,4
9,2,12,3,3
5,1,9,4,4
11,2,38,4,7
7,4,14,4,4
10,2,28,4,2
4,3,19,10,3
7,2,27,1,3
3,1,14,1,5
4,2,27,3,7
7,1,39,6,3
5,3,25,2,3
11,3,33,4,2
12,4,23,6,3
6,0,20,2,3
8,5,25,10,6
13,4,42,4,8
9,4,42,9,5
6,3,18,2,4
9,2,32,4,4
4,3,23,1,5
10,2,32,4,8
7,1,37,9,5
5,2,26,6,3
4,0,10,2,2
13,4,25,6,6
7,0,9,2,2
8,4,30,8,5
6,1,20,2,7
7,2,64,5,7
6,2,12,3,2
9,2,18,2,1
4,1,10,1,1
7,1,29,1,5
3,2,30,5,2
6,3,21,3,5
8,5,27,7,6
10,4,23,5,7
4,1,21,2,1
4,2,27,3,7
4,0,16,2,3
11,6,32,15,7
6,3,10,6,5
5,7,36,5,2
6,0,15,1,1
8,0,61,8,6
16,6,30,2,1
18,4,23,2,7
8,2,15,4,3
4,2,27,3,7
9,3,24,10,9
5,2,37,4,6
6,3,10,6,5
6,3,10,6,5
3,3,14,1,1
3,5,21,7,2
5,2,30,1,4
4,1,20,2,3
7,4,48,12,8
5,4,23,1,5
5,0,30,2,2
8,1,18,3,1
6,7,39,4,4
6,1,7,1,2
6,4,43,13,7
7,1,18,5,2
7,1,8,2,2
6,2,17,5,9
6,3,10,6,5
8,2,54,8,2
3,1,19,2,1
5,2,28,4,8
6,1,7,1,2
4,2,19,1,3
7,1,15,5,2
