0,1,2,3,4
20,5,23,2,4
14,7,28,1,1
15,2,16,0,2
10,0,23,1,2
18,3,23,1,4
21,3,23,0,3
7,0,7,0,0
12,6,12,2,0
9,2,4,0,2
15,4,18,0,2
21,3,23,0,3
16,3,15,6,3
16,6,24,3,4
16,4,11,0,1
14,11,36,2,2
22,0,31,1,4
19,5,46,0,2
15,8,11,1,1
18,1,23,1,3
9,3,13,1,2
9,3,8,0,1
17,3,25,2,2
18,4,60,3,3
20,5,27,1,2
25,1,31,7,2
6,4,10,2,2
10,2,8,3,0
18,4,19,4,2
16,2,14,0,2
22,7,25,4,2
14,4,12,1,0
18,2,35,2,3
10,2,15,0,1
16,2,25,0,2
18,3,22,0,1
17,4,26,4,4
30,4,54,2,4
19,6,26,0,3
8,4,12,4,2
10,3,21,3,0
11,2,32,10,1
15,4,24,9,3
11,6,12,0,1
9,6,12,0,2
15,6,17,0,4
23,5,40,2,3
12,2,23,1,1
17,5,19,0,0
25,10,23,6,5
15,3,22,2,3
15,6,12,0,0
10,0,8,1,0
13,5,16,2,0
19,3,23,11,5
19,2,30,0,1
8,4,12,4,2
9,0,8,1,0
19,6,31,3,0
10,3,13,3,10
14,4,23,0,0
30,16,29,2,4
14,3,14,1,0
7,6,8,0,2
9,5,10,0,2
9,3,11,1,2
12,6,7,1,1
20,5,20,2,4
17,3,54,3,6
21,2,30,4,2
10,4,11,1,1
8,4,12,4,2
17,2,12,2,0
13,1,21,10,2
17,7,22,16,4
9,3,22,4,1
8,2,7,0,0
17,3,29,1,2
12,6,12,2,0
20,2,25,5,0
20,5,37,4,2
32,8,33,6,3
16,8,20,4,3
23,6,30,1,6
9,2,5,1,1
8,5,8,0,2
17,5,25,6,1
17,6,22,5,4
14,2,40,2,1
17,3,18,1,4
22,5,21,2,4
19,4,35,1,1
10,4,10,0,1
13,2,7,0,1
18,6,23,2,4
18,3,30,2,4
20,2,14,0,3
19,5,20,5,4
9,2,18,3,3
20,2,36,5,0
19,4,21,4,4
6,1,7,0,0
16,2,17,1,3
13,5,12,1,0
18,3,23,1,4
8,4,12,4,2
19,3,29,3,0
14,3,10,1,1
19,2,23,5,1
12,5,25,0,7
15,3,11,0,1
19,3,18,4,5
8,2,15,0,2
27,11,39,11,2
24,7,27,3,0
13,3,18,2,3
17,6,7,1,0
7,3,25,5,0
24,8,17,1,0
13,3,21,2,3
9,3,24,0,1
20,2,20,1,1
22,3,32,1,2
7,3,23,2,5
20,2,24,0,3
27,7,23,2,1
14,4,11,0,2
20,5,26,6,3
14,6,14,0,0
32,7,42,16,4
11,7,14,0,1
13,2,22,1,3
13,4,22,4,5
11,1,18,1,0
10,5,9,0,1
15,2,8,0,2
23,4,34,1,2
13,6,22,8,1
8,3,22,1,1
13,2,17,10,7
13,7,24,3,5
10,3,8,1,1
7,0,6,1,0
24,3,34,12,5
9,2,9,1,1
20,7,20,0,4
21,7,44,2,0
11,2,15,1,2
18,6,34,11,3
13,2,9,0,0
8,3,20,4,1
12,8,8,4,0
19,3,19,0,0
13,4,9,0,2
17,7,23,2,2
21,3,23,0,3
13,4,15,1,1
14,9,24,5,4
11,4,14,1,1
8,2,18,2,0
18,5,31,6,4
20,3,21,3,0
27,10,38,11,2
13,3,27,0,0
11,4,7,0,1
17,5,37,11,6
9,7,12,0,1
12,6,20,5,3
14,7,50,2,1
14,1,5,0,1
17,3,18,1,4
17,4,10,0,1
16,3,25,0,5
19,1,23,3,5
15,5,21,8,4
10,0,13,0,0
26,7,50,6,2
8,6,11,3,1
9,2,8,3,1
24,3,27,6,2
14,6,13,0,0
19,7,17,3,0
15,3,18,0,3
20,4,15,0,1
13,1,6,0,4
17,3,18,1,4
22,3,26,4,1
22,2,12,0,2
21,2,25,4,1
19,4,19,4,2
9,0,17,3,2
15,4,29,3,3
24,7,34,1,5
19,5,35,6,4
16,4,12,0,1
19,2,26,2,2
15,3,15,0,3
26,1,22,4,4
20,3,25,7,4
12,2,23,4,1
9,0,8,1,0
22,5,21,2,4
11,1,7,1,0
15,4,30,3,3
12,4,17,0,3
24,3,53,3,2
10,2,8,3,2
13,7,11,0,1
8,2,7,0,0
19,4,17,0,3
19,3,20,0,0
19,2,15,1,1
16,6,24,3,4
18,3,21,3,4
11,2,16,0,0
16,4,18,1,4
9,2,14,0,0
25,5,24,11,6
8,4,12,4,2
11,8,34,1,1
9,0,13,0,1
17,3,54,3,6
24,10,20,1,0
31,11,10,1,1
12,6,13,1,0
16,3,19,1,4
15,5,22,9,4
19,3,28,1,3
8,4,12,4,2
8,4,12,4,2
10,3,8,0,1
10,9,10,7,2
20,2,18,0,2
14,2,13,0,1
24,8,31,13,3
11,4,21,1,1
15,5,19,0,0
10,6,14,0,1
17,5,35,2,1
9,2,5,0,1
20,3,38,10,2
11,2,12,4,4
8,2,9,0,1
10,5,13,1,10
8,4,12,4,2
16,4,50,3,1
13,0,11,2,0
17,2,20,2,6
9,2,5,0,1
15,2,11,0,1
11,1,15,3,0
