0,1,2,3,4
12,3,19,5,15
9,4,24,3,11
5,0,22,1,7
5,0,19,4,8
8,1,24,6,10
9,2,26,1,12
1,1,7,0,5
7,1,10,2,12
3,0,6,0,8
8,2,20,0,9
9,2,26,1,12
6,3,19,6,9
11,3,21,4,14
7,1,15,3,6
13,5,29,4,14
10,0,37,0,11
9,1,42,9,11
11,2,15,2,6
7,0,27,3,9
5,3,9,1,10
4,1,9,0,7
7,1,29,3,9
14,1,57,6,9
16,2,19,7,11
8,1,41,4,12
5,1,8,2,8
4,2,6,4,7
14,0,18,6,9
3,1,18,1,11
8,4,30,8,10
8,0,9,0,14
11,1,30,5,13
5,1,14,0,8
6,1,25,2,11
5,0,27,1,11
11,3,22,4,15
12,4,58,1,19
7,5,31,0,11
5,1,9,4,11
6,1,19,2,9
9,0,26,12,9
11,1,17,11,15
5,2,15,1,7
9,1,9,3,7
12,2,16,2,10
13,2,41,7,10
6,1,23,1,8
12,0,19,1,9
10,4,30,3,22
7,2,23,4,9
6,1,8,2,16
2,2,7,1,7
7,1,10,4,14
5,3,28,16,9
8,1,32,0,11
5,1,9,4,11
2,2,5,2,7
11,2,33,4,9
5,8,7,0,19
8,0,20,1,12
22,3,39,4,13
2,1,23,0,6
5,1,8,1,8
5,1,12,1,7
7,1,11,0,7
5,3,12,0,7
11,4,19,2,15
10,3,50,5,15
7,2,33,3,14
4,2,13,0,8
5,1,9,4,11
4,2,19,0,8
5,0,25,4,13
15,4,20,14,13
6,2,14,6,11
4,0,8,0,5
6,1,32,2,11
7,0,10,3,12
8,3,27,3,11
7,3,39,3,16
18,5,35,5,19
9,5,17,12,8
11,3,32,5,15
4,2,5,0,7
4,1,8,1,9
8,4,24,6,12
13,1,21,8,11
7,2,38,3,9
3,2,27,1,10
12,3,19,5,15
6,1,43,0,10
6,1,9,1,8
3,1,12,0,7
12,1,25,3,12
3,2,38,2,12
3,2,24,0,10
14,1,19,8,11
9,1,14,1,10
11,3,29,6,14
14,1,19,7,11
1,1,7,0,5
4,3,20,1,11
6,0,11,2,12
12,3,18,4,12
5,1,9,4,11
6,3,28,3,14
2,2,17,0,8
8,4,25,3,10
4,2,24,3,16
5,0,18,0,7
17,2,13,6,11
5,2,14,0,6
9,3,55,6,17
9,1,30,6,15
8,1,17,3,10
11,0,12,0,8
4,1,18,8,9
16,4,21,0,9
8,0,20,5,9
8,2,15,3,9
7,0,27,1,9
8,1,41,0,10
3,0,18,5,14
6,2,25,1,15
14,2,29,1,14
5,1,16,0,9
9,6,29,4,12
7,1,8,0,18
13,10,40,14,24
9,2,12,2,8
4,2,21,3,11
11,2,18,7,10
8,1,13,0,9
6,1,11,0,7
3,2,13,0,9
11,2,33,3,15
12,2,19,9,8
5,0,21,0,9
5,2,9,12,21
9,3,26,0,14
4,1,11,1,6
1,1,7,0,5
6,4,38,15,15
4,1,7,3,7
11,4,19,2,15
11,3,43,3,14
5,1,13,2,10
10,6,30,11,15
4,0,12,0,8
6,4,13,6,7
5,2,11,3,11
4,1,26,0,10
6,3,11,0,8
14,1,23,4,9
9,2,26,1,12
7,0,11,4,12
12,2,27,5,10
6,0,12,1,12
6,1,13,2,8
10,6,21,12,15
5,2,30,0,10
10,2,53,6,17
7,1,25,1,9
4,2,9,0,8
11,5,29,12,19
9,1,9,3,7
6,3,17,7,13
13,4,35,6,16
3,0,10,0,8
3,2,27,1,10
7,2,14,3,6
9,0,31,1,8
12,3,20,4,12
10,2,17,6,18
5,0,12,0,6
8,1,58,7,17
5,1,7,1,15
3,3,5,3,9
11,4,32,3,12
6,1,11,0,15
9,1,27,2,7
8,1,17,5,8
7,0,24,2,7
4,0,11,0,9
3,2,27,1,10
9,3,27,5,12
3,2,23,0,10
11,3,27,2,10
14,0,18,6,10
5,2,14,2,8
11,1,23,5,14
11,3,37,5,15
10,7,36,5,11
6,1,17,1,8
7,1,30,3,10
3,2,20,1,10
13,4,27,2,10
4,2,32,10,11
7,0,20,8,7
2,2,5,2,7
12,3,19,5,15
2,2,5,2,9
7,4,21,7,16
7,2,18,1,8
8,3,52,8,14
5,0,9,3,8
10,1,12,1,8
4,0,7,0,6
6,2,25,1,9
4,1,27,0,10
7,1,19,4,7
11,3,21,6,12
12,3,18,2,14
4,1,16,1,7
3,2,27,1,10
3,3,12,0,7
13,4,18,12,24
5,1,9,4,11
10,4,29,2,10
3,1,14,0,5
10,3,50,5,15
20,1,26,1,7
18,6,21,0,9
7,0,10,1,14
3,2,26,2,10
11,2,15,9,18
7,1,33,3,10
5,1,9,4,11
5,1,9,4,11
4,0,11,0,7
5,2,14,6,11
6,1,25,2,8
4,1,19,0,6
10,5,31,18,15
7,2,19,1,9
5,1,26,0,7
5,2,14,2,8
8,2,32,6,12
5,2,4,0,6
8,4,34,14,13
5,1,7,5,15
5,1,6,0,8
5,8,7,0,19
5,1,9,4,11
9,1,43,7,14
1,0,16,0,9
5,1,22,5,14
5,2,4,0,6
3,1,17,0,8
6,3,11,3,7
