Course	Credits
Computer networks for high performance computing and Big Data infrastructure	3
Big Data Infrastructure and Technologies	4
NoSQL databases	4
Cloud Computing technologies for Big Data and Data Analytics	6
Infrastructure and platforms for Data Science applications	8
Big Data systems organisation and engineering	9
Requirements engineering and software systems development	7
DevOps and cloud enabled applications development	5
Data Science applications design	5
Data and Applications security	3
Infrastructure, applications and data security	4
Access Control and Identity Management	3
Security services management, including compliance and certification	2
